"district_code","tylephu_goithoai","delta_tylephu_goithoai","rate_tylephu_goithoai","log_delta_tylephu_goithoai","log_rate_tylephu_goithoai","tylephu_goidata","delta_tylephu_goidata","rate_tylephu_goidata","log_delta_tylephu_goidata","log_rate_tylephu_goidata","dt_goi_tt","delta_dt_goi_tt","rate_dt_goi_tt","log_delta_dt_goi_tt","log_rate_dt_goi_tt","partition"
P210012,0.16096,0.008309999999999984,0.05162773359840945,-4.790295670114782,-2.9636962780440195,0.60009,0.0242,0.040327284240697224,-3.7214026458194964,-3.210727010804631,1459378277,2.1603111066667008E8,0.14802955071440335,19.190932986141203,-1.9103433581596105,"20200801"
P210012,0.15588,-0.005080000000000001,-0.0325891711573005,,,0.64866,0.04857,0.07487743964480621,-3.0247492226244836,-2.5919026401750815,1.39241447149999E9,-6.696380550001001E7,-0.04809186263905509,,,"20200901"
P210012,0.15202,-0.0038600000000000023,-0.025391395868964627,,,0.44905,-0.19961,-0.4445162008685002,,,1463086444,7.067197250001001E7,0.04830334720810933,18.073559623696934,-3.0302544203498356,"20201001"
P210012,0.15186,-1.5999999999999348E-4,-0.0010536020018437607,,,0.44453,-0.004520000000000024,-0.010168042651789585,,,1.41870624953249E9,-4.4380194467509985E7,-0.03128215899671599,,,"20201101"
P210012,0.19451,0.042649999999999993,0.2192689321885764,-3.1547280050444493,-1.5174563016809126,0.46749,0.022960000000000036,0.04911335001818228,-3.7740017075307697,-3.0136243866742656,1.4740413330403E9,5.533508350780988E7,0.03753970955053065,17.828917686811714,-3.2823559849200175,"20201201"
P210012,0.1544,-0.04010999999999998,-0.25977979274611385,,,0.44365,-0.023840000000000028,-0.05373605319508628,,,1820456333.49,3.464150004497001E8,0.19029020036178912,19.663148037553597,-1.6592050017401454,"20210101"
P210012,0.12706,-0.027340000000000003,-0.21517393357468914,,,0.48822,0.04457,0.091290811519397,-3.1106942920236724,-2.3937051369781566,1726604333.49,-93852000,-0.054356402436623194,,,"20210201"
G059005,0.16057,-9.000000000000119E-4,-0.005605032073239161,,,0.59138,-0.0015800000000000258,-0.002671717000913162,,,6.98150472166666E8,3.5549527833333015E7,0.050919578587417254,17.386437432362538,-2.9775077813009156,"20200801"
G059005,0.15964,-9.299999999999864E-4,-0.005825607617138477,,,0.6104,0.019020000000000037,0.031159895150720898,-3.9622642218648907,-3.468623422853001,6.65808999333333E8,-3.2341472833333015E7,-0.04857470065096171,,,"20200901"
G059005,0.1034,-0.05624,-0.5439071566731141,,,0.45581,-0.15459000000000006,-0.3391544722581779,,,6.86444638833333E8,20635639.5,0.03006162235467656,16.842530211723258,-3.5045059255655437,"20201001"
G059005,0.10665,0.003249999999999989,0.030473511486169613,-5.729100282640494,-3.490897448575717,0.47494,0.01912999999999998,0.04027877205541749,-3.9564974955299768,-3.2119306968144956,7.588328886709E8,7.238824983756697E7,0.09539419141987295,18.097554549123448,-2.3497375889657004,"20201101"
G059005,0.15461,0.04796,0.31019985770648734,-3.0373879488228237,-1.1705384869551896,0.5088,0.03386000000000006,0.06654874213836488,-3.385520902277146,-2.7098206353209218,8.903328051832E8,1.3149991651230001E8,0.1476974854197828,18.69451677469444,-1.9125891145065679,"20201201"
G059005,0.11242,-0.04218999999999999,-0.37528909446717656,,,0.49519,-0.013610000000000011,-0.027484399927300653,,,559486666.68,-3.3084613850320005E8,-0.5913387363928522,,,"20210101"
G059005,0.09594,-0.01648000000000001,-0.17177402543256212,,,0.51241,0.017220000000000013,0.033605901524170124,-4.061683779982552,-3.3930535868356815,473487333.38,-8.599933329999995E7,-0.18162963871935447,,,"20210201"
G059005,0.0999,0.003960000000000005,0.03963963963963969,-5.531511253715746,-3.2279256603881175,0.52502,0.01261000000000001,0.024018132642566015,-4.373265129005308,-3.7289462071272848,515984333.36,4.249699998000002E7,0.08236102771428537,17.564944042697263,-2.496642918582221,"20210301"
G059006,0.13123,0,0,,,0.48952,0,0,,,1.18222333333333E9,0,0,,,"20200301"
G059006,0.17176,0.04052999999999998,0.2359687936655798,-3.2057128383419204,-1.4440557129303087,0.60563,0.11610999999999999,0.19171771543681784,-2.1532172613432223,-1.6517312209059885,1.05890463883333E9,-1.2331869449999988E8,-0.11645873478830802,,,"20200401"
G059006,0.17288,0.0011200000000000099,0.006478482184174051,-6.794426593675125,-5.039269026891619,0.62027,0.014639999999999986,0.02360262466345299,-4.223997770448973,-3.7463973585813597,9.65358610999999E8,-9.354602783333099E7,-0.09690287812984669,,,"20200501"
G059006,0.17396,0.0010799999999999976,0.006208323752586788,-6.830794237846011,-5.081864346593312,0.53863,-0.08163999999999993,-0.15156972318660292,,,8.50994721999999E8,-114363889,-0.13438848214149104,,,"20200601"
G059006,0.17474,7.800000000000029E-4,0.004463774751058732,-7.156216638280633,-5.411760514168445,0.56687,0.028239999999999932,0.04981741845573047,-3.567015866357098,-2.999390587918804,9.60404332666666E8,1.0940961066666698E8,0.11392036348157596,18.51060929296631,-2.1722556406496154,"20200701"
G059006,0.17697,0.002229999999999982,0.012601005820195412,-6.105753693510118,-4.373978641211075,0.56606,-8.099999999999774E-4,-0.001430943716213789,,,1.00493841649999E9,4.4534083833323956E7,0.04431523673702089,17.61176538280141,-3.1164267166640864,"20200801"
G059006,0.17556,-0.0014099999999999946,-0.008031442241968527,,,0.59453,0.028469999999999995,0.04788656585874555,-3.558904377692191,-3.038920276141289,9.42484138499999E8,-6.245427799999094E7,-0.0662656011372132,,,"20200901"
G059006,0.13001,-0.04555000000000001,-0.35035766479501584,,,0.45993,-0.1346,-0.29265322983932335,,,9.60753888666666E8,1.8269750166666985E7,0.019016056434621086,16.720757253748758,-3.9624715811845856,"20201001"
